DATE,RESULT,POTROS GOALS,OPPONENT GOALS,OPPONENT,COMPETITION,GOAL SCORERS
10/07/18,Win,1,0,HCU Elite,ADASL,Lisandro Hernandez
10/14/18,Draw,1,1,Majestic Red,ADASL,Lisandro Hernandez
10/21/18,Loss,1,2,GA Tech Club,ADASL,Lisandro Hernandez
10/28/18,Win,2,1,Revs U23,ADASL,"Oscar Zavala, Marc Bineau"
11/04/18,Win,3,1,Terminus - KLS FC,Perrin Cup,"Lisandro Hernandez, Marc Bineau, Seedou Cham"
11/18/18,Win,5,4,Relegators FC,ADASL,"Nick Uranga, Lisandro Hernandez, Seedou Cham, Marc Bineau (2)"
12/02/18,Loss,0,2,Vinotinto Academy,ADASL,
12/09/18,Win,2,1,MOBA Upper 90,ADASL,"Josh Hollman, Seedou Cham"
01/13/19,Win,5,3,Sting Black,ADASL,"Seedou Cham, Alan Kazemian (2), Josh Hollman, Benjamin Uranga"
01/27/19,Win,4,3,AFC Clayton,ADASL,"Alan Kazemian (2), Josh Hollman (2)"
02/03/19,Win,4,0,Revs Blue,ADASL,"Lisandro Hernandez, Marc Bineau, Oscar Zavala, Seedou Cham"
02/10/19,Win,7,2,MOBA Upper 90,Perrin Cup,"Lisandro Hernandez (3), Benjamin Uranga, Seedou Cham (2), Alan Kazemian"
03/10/19,Loss,3,7,RYSA Adult,ADASL,"Lisandro Hernandez (2), Oscar Zavala"
03/17/19,Loss,0,6,VaHi ATLetic Old Boys,ADASL,
03/24/19,Win,2,0,Terminus - KLS FC,ADASL,"Lisandro Hernandez, Josh Hollman"
03/24/19,Win,2,1,Little Five FC,ADASL,"Colin Reed, Lisandro Hernandez"
03/31/19,Loss,2,3,Fury FC,ADASL,"Seedou Cham, Josh Hollman"
03/31/19,Loss,0,13,Revily FC,Perrin Cup,
04/14/19,Win,,,VaHi ATLetic Juniors,ADASL,Forfeit 
09/22/19,Win,2,1,Prima FC,ADASL,Lisandro Hernandez (2)
09/29/19,Win,2,1,AFU South Elite,ADASL,"Jose Segura, Chino Carrero"
10/06/19,Win,3,2,Terminus KLS,ADASL,"Seedou Cham, Benjamin Uranga, Chino Carrero"
10/27/19,Win,10,1,Pegasus,Perrin Cup,"Chino Carrero (5), Seedou Cham, Jean Altidor (2), Benjamin Uranga, Christopher Uranga"
11/03/19,Win,3,0,Sting Black,ADASL,"Chino Carrero, Seedou Cham, Randy Calvillo"
11/10/19,Win,9,0,AFC Clayton,ADASL,"Randy Calvillo (2), Chino Carrero (2), Jean Altidor (2), Nick Uranga, George Courtney, Seedou Cham"
11/17/19,Win,3,0,Majestic Red ,ADASL,"David Gonzalez, Randy Calvillo (2)"
11/24/19,Loss,1,2,Georgia Revolution U23,ADASL,Josh Hollman
12/08/19,Loss,1,2,Wings Premier,Perrin Cup,Christopher Forde
01/12/20,Win,4,0,Georgia Revolution U21,ADASL,"Seedou Cham (2), Yannick Herschberg, Chino Carrero"
01/19/20,Win,6,1,MOBA Upper 90,ADASL,"Yannick Herschberg, Christopher Forde, Chino Carrero (2), Randy Calvillo, Seedou Cham"
01/26/20,Win,4,1,Buckhead SC,ADASL,"Yannick Herschberg (3), Jose Segura"
02/02/20,Win,7,0,Pegasus,ADASL,"Yannick Herschberg (3), Josh Hollman (2), Chino Carrero (2)"
02/09/20,Loss,2,3,Prima FC,ADASL,"Josh Hollman, Chino Carrero "
02/23/20,Win,6,0,MOBA Knights,ADASL,"Christopher Forde, Chino Carrero, Sebastian Montero (3), Sebastian Ramirez"
03/01/20,Win,,,Gladiators FC,ADASL,Forfeit
03/08/20,Win,4,0,Sting Black,ADASL,"Sebastian Montero (3), Chino Carrero"
8/29/20,Loss,1,2,LSA Limeño,UPSL,Yannick Herschberg
9/5/20,Loss,0,4,Ginga Atlanta FC,UPSL,
9/12/20,Loss,0,2,Cornerstone Top Pro,UPSL,
9/19/20,Loss,1,3,Seas Jamaica United FC,UPSL,Benjamin Uranga
9/26/20,Loss,1,2,Forest Rovers FC,UPSL,Jose Segura
10/3/20,Draw,3,3,FC Matata,UPSL,"Benjamin Uranga (2), Amadou Kora"
10/17/20,Draw,0,0,Futuro FC,UPSL,
10/24/20,Loss,1,2,Futuro FC,UPSL,Jose Segura
10/31/20,Loss,0,6,LSA Limeño,UPSL,
11/7/20,Loss,1,2,Ginga Atlanta FC,UPSL,Gabriel Koziel
11/14/20,Win,5,2,Cornerstone Top Pro,UPSL,"Logan Llano (3), Osvaldo Franco, Benjamin Uranga"
11/21/20,Loss,1,2,Seas Jamaica United FC,UPSL,Benjamin Uranga
11/28/20,Loss,2,5,FC Matata,UPSL,"Logan Llano, Chino Carrero "
12/5/20,Win,4,2,Forest Rovers FC,UPSL,"Amadou Kora, Gabriel Koziel, Brandon Gallo, Osvaldo Franco"
1/17/21,Draw,0,0,11 Oriental,Liga de Naciones,
1/24/21,Draw,0,0,Iraq FC,Liga de Naciones,
1/31/21,Win,5,1,Libertadores,Liga de Naciones,"Juan Correa, Kaan Vann, Gabriel Koziel, Georgie Angelides, Rodrigo Feitosa"
2/7/21,Win,3,0,Tigres,Liga de Naciones,"Marc Bineau, Sebastian Ramirez, Austin Anderson"
2/14/21,Win,2,1,KSA-03,Liga de Naciones,"Marc Bineau, Rodrigo Feitosa"
2/28/21,Win,2,1,Man City,Liga de Naciones,"Marc Bineau, Kevin Lopez"
3/7/21,Loss,0,5,CD Aguila,Liga de Naciones,
3/14/21,Win,1,0,Forest Rovers FC,UPSL,Gabriel Koziel
3/20/21,Loss,3,4,Atlanta Elephants FC,UPSL,"Marc Bineau, Manuel Carrillo (2)"
3/21/21,Draw,1,1,CD Platense,Liga de Naciones,Osvaldo Franco
3/27/21,Loss,0,3,Atletico Atlanta ,UPSL,
3/28/21,Loss,0,2,Alianza FC,Liga de Naciones,
4/3/21,Loss,2,4,Kalonji Pro-Profile,UPSL,"Manuel Carrillo, Marc Bineau"
4/4/21,Draw,0,0,CD Olimpia,Liga de Naciones,
4/11/21,Win,3,2,FC Stone Mountain,UPSL,"Marc Bineau, Gabriel Koziel, Benjamin Uranga"
4/17/21,Win,2,0,Rovers FC,UPSL,Augusto Del Rio (2)
4/18/21,Loss,0,2,CD Marquense,Liga de Naciones,
4/24/21,Loss,0,3,Seas Jamaica All Stars FC,UPSL,
4/25/21,Win,,,KSA Pro-Profile,Liga de Naciones,Forfeit
5/1/21,Win,2,0,Club ATLetic,UPSL,"Manuel Carrillo, Sebastian Ramirez"
5/2/21,Draw,0,0,Anamoros,Liga de Naciones,
5/8/21,Loss,2,5,FC Matata,UPSL,"Manuel Carrillo, Marc Bineau"
5/15/21,Draw,2,2,LSA Limeño,UPSL,"Marc Bineau, Manuel Carrillo"
5/16/21,Win,3,0,Libertadores,Liga de Naciones,"Andrew Dornan, Osvaldo Franco, Georgie Angelides"
5/23/21,Win,4,2,11 Oriental,Liga de Naciones,"Andrew Dornan, Georgie Angelides, Gabriel Koziel"
5/30/21,Loss,0,2,Anamoros,Liga de Naciones,
6/6/21,Loss,1,5,LSA Limeño,UPSL,Marc Bineau
8/28/21,Loss,2,3,Atletico Atlanta,UPSL,"Marc Bineau, Manuel Carrillo"
9/4/21,Draw,2,2,Kalonji Pro-Profile,UPSL,Manuel Carrillo (2)
9/11/21,Win,2,0,Georgia Storm FC,UPSL,Jair Figueroa
9/19/21,Loss,1,2,Atlanta Elephants FC,UPSL,Yannick Herschberg
9/25/21,Loss,2,3,Rovers FC,UPSL,"Manuel Carrillo, Marc Bineau"
9/26/21,Loss,1,2,ATLetic Old Boys,ADASL,Kristopher Bass
10/3/21,Draw,0,0,Cavalier Football Club,ADASL,
10/10/21,Win,2,1, Terminus KLS,ADASL,"Chile Chipumbu, Andrew Dornan"
10/17/21,Win,3,0,Savannah Clovers FC,UPSL,"Manuel Carrillo, Marc Bineau (2)"
10/23/21,Loss,1,2,Atlanta United Academy,UPSL,Marc Bineau
10/24/21,Win,4,0, Sting Black,ADASL,"Chile Chipumbu (2), Kaan Vann, Eduardo Lopez"
10/31/21,Win,2,1,East Atlanta FC Reserves,Perrin Cup,"Christopher Uranga, Jorge Sierra"
11/6/21,Win,2,1,Augusta United FC,UPSL,Manuel Carrillo (2)
11/7/21,Win,2,0, Historic South Atlanta,ADASL,"Chile Chipumbu, Andres Urbaez"
11/14/21,Win,2,1,East Atlanta FC Reserves,ADASL,"Kristopher Bass, Kaan Vann"
11/21/21,Loss,1,2,Seas Jamaica All Stars FC,UPSL,Manuel Carrillo
11/21/21,Win,2,1, Club The Strongest Atlanta,ADASL,"Andres Urbaez, Kristopher Bass"
11/27/21,Loss,0,1,Limeño Georgia,UPSL,
12/5/21,Win,3,0, Brute Force Blue,ADASL,"Sebastian Montero, Andres Urbaez"
12/12/21,Loss,2,4, Majestic,Perrin Cup,"Manuel Carrillo, Niles Brown"
1/23/2022,Win,1,0, Brute Force Blue,ADASL,Russell Joseph
1/30/2022,Win,10,1,Brute Force Orange,ADASL,"Mark Watson (3), Anawin Boonprasert, Sebastian Ramirez, Landon Liborio (2), Kristopher Bass, Mananga Chipumbu, Mirza Baig"
2/5/2022,Loss,2,4,Club The Strongest Atlanta,UPSL Regional Cup,Manuel Carrillo (2)
2/6/2022,Loss,0,3,East Atlanta FC Reserves,ADASL,
2/12/2022,Win,4,3,Pre-College DA,UPSL Regional Cup,"Manuel Carrillo, Augusto del Rio, Sebastian Montero, Jair Figueroa"
2/13/2022,Loss,0,2,Sting Black,ADASL,
2/19/2022,Draw,0,0,Limeño Georgia U-20,UPSL Regional Cup,
2/20/2022,Win,3,0,ATLetic Old Boys,ADASL,"Christopher Uranga, Mark Watson (2)"
2/27/2022,Win,6,0,Historic South Atlanta,ADASL,"Sebastian Montero, Mananga Chipumbu, Russell Joseph, Niles Brown, Kristopher Bass, Sebastian Ramirez"
3/13/2022,Win,4,0,Terminus KLS,ADASL,"Sebastian Montero (2), Russell Joseph, Marc Bineau"
3/27/2022,Win,3,2,Majestic Red,ADASL,"Manuel Carrillo, Jack Gilligan, Sebastian Montero"
4/3/2022,Win,,,Brute Force Orange,ADASL,Forfeit
4/3/2022,Win,2,1,Rovers FC,UPSL,Marc Bineau (2)
4/9/2022,Win,1,0,Atlanta Elephants FC,UPSL,Marc Bineau
4/10/2022,Win,3,1,Cavalier FC,ADASL,"Benjamin Uranga, Eduardo Ramirez, Jack Gilligan"
4/17/2022,Loss,1,2,Georgia FC,UPSL,Marc Bineau
4/23/2022,Loss,0,3,Kalonji Pro-Profile,UPSL,
4/24/2022,Win,5,1,Club The Strongest Atlanta,ADASL,"Jack Gilligan, Benjamin Uranga, Mark Watson (2), Kaan Vann"
5/1/2022,Win,6,1,Majestic Red,ADASL,"Kristopher Bass (3), Jose Bautista, Carlos Guerrero, Niles Brown"
5/1/2022,Win,2,1,FC Birmingham,UPSL,"Sebastian Montero, Marc Bineau"
5/7/2022,Win,5,2,Augusta United FC,UPSL,"Manuel Carrillo (4), Eli Huey"
5/15/2022,Draw,1,1,FC Matata,UPSL,Marc Bineau
5/21/2022,Win,3,0,Club the Stongest Atlanta,UPSL,"Manuel Carrillo (2), Sebastian Montero"
5/29/2022,Loss,2,4,Seas Jamaica All Stars,UPSL,"Marc Bineau, Manuel Carrillo"
5/31/2022,Win,5,2,Limeño Georgia,UPSL,"Marc Bineau (2), Lucas Pegorer (2), Manuel Carrillo"
6/3/2022,Draw,0,0,Atlanta United Academy,UPSL,
6/12/2022,Loss,1,4,Soccer in the Streets LA Mercy,ADASL Summer,Devani Lopez
6/12/2022,Loss,1,2,Terminus FC,ADASL Summer,Niles Brown
6/12/2022,Loss,1,3,Georgia FC,UPSL,Sebastian Montero
6/19/2022,Win,2,0,Peachtree FC,ADASL Summer,"Jack Gilligan, Daniel Ailemen"
6/19/2022,Loss,0,2,Georgia Revolution U23,ADASL Summer,
6/26/2022,Loss,1,3,Terminus FC,ADASL Summer,Devani Lopez
6/26/2022,Win,8,1,Historic South Atlanta,ADASL Summer,"Anawin Boonprasert, Jack Gilligan, Daniel Ailemen, Ezequiel Ruiz, Dante Andre, Kristopher Bass, Mateo Chavarriaga, Niles Brown"
7/9/2022,Win,1,0,FC Atlanta Academy,UPSL Regional Cup,Anawin Boonprasert
7/10/2022,Win,4,1,Historic South Atlanta,ADASL Summer,"Jace McBride, Doji Etheleau (3)"
7/10/2022,Win,4,0,Brute Force Blue,ADASL Summer,"Kristopher Bass, Christopher Uranga, Ejemai Ohiwerei, Niles Brown"
7/16/2022,Draw,2,2,Kalonji Pro-Profile U23,UPSL Regional Cup,Lucas Pegorer (2)
7/17/2022,Win,4,1,Soccer in the Streets LA Mercy,ADASL Summer,"Rodrigo Feitosa, Kalabi Kamau, Manuel Montagut, Ousseynou Ndoye"
7/17/2022,Loss,0,5,Brute Force Blue,ADASL Summer,
7/23/2022,Win,2,0,Middle Georgia United,UPSL Regional Cup,"Manuel Carrillo, Augusto Del Rio"
7/24/2022,Win,3,0,Georgia Revolution U23,ADASL Summer,"Miwoned Siraj, Daniel Ailemen, Kristopher Bass"
7/24/2022,Win,1,0,Peachtree FC,ADASL Summer,Samuel Octavius
7/30/2022,Loss,1,2,Kalonji Pro-Profile,UPSL Regional Cup,Lucas Pegorer
7/31/2022,Loss,2,4,Terminus FC,ADASL Summer,"Kristopher Bass, Manuel Montagut"
TOTALS,139,312,236,OVERALL RECORD,75-51-15,