ID,DATE,RESULT,POTROS GOALS,OPPONENT GOALS,OPPONENT,COMPETITION,goal_scorer1,goal_scorer2,goal_scorer3,goal_scorer4,goal_scorer5,goal_scorer6,goal_scorer7,goal_scorer8,goal_scorer9,goal_scorer10
0,10/7/18,Win,1,0,HCU Elite,ADASL,41,,,,,,,,,
1,10/14/18,Draw,1,1,Majestic Red,ADASL,41,,,,,,,,,
2,10/21/18,Loss,1,2,GA Tech Club,ADASL,41,,,,,,,,,
3,10/28/18,Win,2,1,Revs U23,ADASL,45,5,,,,,,,,
4,11/4/18,Win,3,1,Terminus - KLS FC,Perrin Cup,41,5,16,,,,,,,
5,11/18/18,Win,5,4,Relegators FC,ADASL,26,41,16,5,5,,,,,
6,12/2/18,Loss,0,2,Vinotinto Academy,ADASL,,,,,,,,,,
7,12/9/18,Win,2,1,MOBA Upper 90,ADASL,21,16,,,,,,,,
8,1/13/19,Win,5,3,Sting Black,ADASL,16,79,79,21,1,,,,,
9,1/27/19,Win,4,3,AFC Clayton,ADASL,79,79,21,21,,,,,,
10,2/3/19,Win,4,0,Revs Blue,ADASL,41,5,45,16,,,,,,
11,2/10/19,Win,7,2,MOBA Upper 90,Perrin Cup,41,41,41,1,16,16,79,,,
12,3/10/19,Loss,3,7,RYSA Adult,ADASL,41,41,45,,,,,,,
13,3/17/19,Loss,0,6,VaHi ATLetic Old Boys,ADASL,,,,,,,,,,
14,3/24/19,Win,2,0,Terminus - KLS FC,ADASL,41,21,,,,,,,,
15,3/24/19,Win,2,1,Little Five FC,ADASL,85,41,,,,,,,,
16,3/31/19,Loss,2,3,Fury FC,ADASL,16,21,,,,,,,,
17,3/31/19,Loss,0,13,Revily FC,Perrin Cup,,,,,,,,,,
18,4/14/19,Win,0,0,VaHi ATLetic Juniors,ADASL,,,,,,,,,,
19,9/22/19,Win,2,1,Prima FC,ADASL,41,41,,,,,,,,
20,9/29/19,Win,2,1,AFU South Elite,ADASL,6,20,,,,,,,,
21,10/6/19,Win,3,2,Terminus KLS,ADASL,16,1,20,,,,,,,
22,10/27/19,Win,10,1,Pegasus,Perrin Cup,20,20,20,20,20,16,113,113,0,1
23,11/3/19,Win,3,0,Sting Black,ADASL,20,16,29,,,,,,,
24,11/10/19,Win,9,0,AFC Clayton,ADASL,29,29,20,20,113,113,26,86,15,
25,11/17/19,Win,3,0,Majestic Red ,ADASL,114,29,29,,,,,,,
26,11/24/19,Loss,1,2,Georgia Revolution U23,ADASL,21,,,,,,,,,
27,12/8/19,Loss,1,2,Wings Premier,Perrin Cup,13,,,,,,,,,
28,1/12/20,Win,4,0,Georgia Revolution U21,ADASL,16,16,10,20,,,,,,
29,1/19/20,Win,6,1,MOBA Upper 90,ADASL,10,13,20,20,29,16,,,,
30,1/26/20,Win,4,1,Buckhead SC,ADASL,10,10,10,6,,,,,,
31,2/2/20,Win,7,0,Pegasus,ADASL,10,10,10,21,21,20,20,,,
32,2/9/20,Loss,2,3,Prima FC,ADASL,21,20,,,,,,,,
33,2/23/20,Win,6,0,MOBA Knights,ADASL,13,20,34,34,34,4,,,,
34,3/1/20,Win,0,0,Gladiators FC,ADASL,,,,,,,,,,
35,3/8/20,Win,4,0,Sting Black,ADASL,34,34,34,20,,,,,,
36,8/29/20,Loss,1,2,LSA Limeño,UPSL,10,,,,,,,,,
37,9/5/20,Loss,0,4,Ginga Atlanta FC,UPSL,,,,,,,,,,
38,9/12/20,Loss,0,2,Cornerstone Top Pro,UPSL,,,,,,,,,,
39,9/19/20,Loss,1,3,Seas Jamaica United FC,UPSL,1,,,,,,,,,
40,9/26/20,Loss,1,2,Forest Rovers FC,UPSL,6,,,,,,,,,
41,10/3/20,Draw,3,3,FC Matata,UPSL,1,1,65,,,,,,,
42,10/17/20,Draw,0,0,Futuro FC,UPSL,,,,,,,,,,
43,10/24/20,Loss,1,2,Futuro FC,UPSL,6,,,,,,,,,
44,10/31/20,Loss,0,6,LSA Limeño,UPSL,,,,,,,,,,
45,11/7/20,Loss,1,2,Ginga Atlanta FC,UPSL,11,,,,,,,,,
46,11/14/20,Win,5,2,Cornerstone Top Pro,UPSL,58,58,58,35,1,,,,,
47,11/21/20,Loss,1,2,Seas Jamaica United FC,UPSL,1,,,,,,,,,
48,11/28/20,Loss,2,5,FC Matata,UPSL,58,20,,,,,,,,
49,12/5/20,Win,4,2,Forest Rovers FC,UPSL,65,11,124,35,,,,,,
50,1/17/21,Draw,0,0,11 Oriental,Liga de Naciones,,,,,,,,,,
51,1/24/21,Draw,0,0,Iraq FC,Liga de Naciones,,,,,,,,,,
52,1/31/21,Win,5,1,Libertadores,Liga de Naciones,17,15,11,44,9,,,,,
53,2/7/21,Win,3,0,Tigres,Liga de Naciones,5,4,104,,,,,,,
54,2/14/21,Win,2,1,KSA-03,Liga de Naciones,5,9,,,,,,,,
55,2/28/21,Win,2,1,Man City,Liga de Naciones,5,42,,,,,,,,
56,3/7/21,Loss,0,5,CD Aguila,Liga de Naciones,,,,,,,,,,
57,3/14/21,Win,1,0,Forest Rovers FC,UPSL,11,,,,,,,,,
58,3/20/21,Loss,3,4,Atlanta Elephants FC,UPSL,5,7,7,,,,,,,
59,3/21/21,Draw,1,1,CD Platense,Liga de Naciones,35,,,,,,,,,
60,3/27/21,Loss,0,3,Atletico Atlanta ,UPSL,,,,,,,,,,
61,3/28/21,Loss,0,2,Alianza FC,Liga de Naciones,,,,,,,,,,
62,4/3/21,Loss,2,4,Kalonji Pro-Profile,UPSL,7,5,,,,,,,,
63,4/4/21,Draw,0,0,CD Olimpia,Liga de Naciones,,,,,,,,,,
64,4/11/21,Win,3,2,FC Stone Mountain,UPSL,5,11,1,,,,,,,
65,4/17/21,Win,2,0,Rovers FC,UPSL,8,8,,,,,,,,
66,4/18/21,Loss,0,2,CD Marquense,Liga de Naciones,,,,,,,,,,
67,4/24/21,Loss,0,3,Seas Jamaica All Stars FC,UPSL,,,,,,,,,,
68,4/25/21,Win,0,0,KSA Pro-Profile,Liga de Naciones,,,,,,,,,,
69,5/1/21,Win,2,0,Club ATLetic,UPSL,7,4,,,,,,,,
70,5/2/21,Draw,0,0,Anamoros,Liga de Naciones,,,,,,,,,,
71,5/8/21,Loss,2,5,FC Matata,UPSL,7,5,,,,,,,,
72,5/15/21,Draw,2,2,LSA Limeño,UPSL,5,7,,,,,,,,
73,5/16/21,Win,3,0,Libertadores,Liga de Naciones,25,35,44,,,,,,,
74,5/23/21,Win,4,2,11 Oriental,Liga de Naciones,25,44,11,,,,,,,
75,5/30/21,Loss,0,2,Anamoros,Liga de Naciones,,,,,,,,,,
76,6/6/21,Loss,1,5,LSA Limeño,UPSL,5,,,,,,,,,
77,8/28/21,Loss,2,3,Atletico Atlanta,UPSL,5,7,,,,,,,,
78,9/4/21,Draw,2,2,Kalonji Pro-Profile,UPSL,7,7,,,,,,,,
79,9/11/21,Win,2,0,Georgia Storm FC,UPSL,22,,,,,,,,,
80,9/19/21,Loss,1,2,Atlanta Elephants FC,UPSL,10,,,,,,,,,
81,9/25/21,Loss,2,3,Rovers FC,UPSL,7,5,,,,,,,,
82,9/26/21,Loss,1,2,ATLetic Old Boys,ADASL,23,,,,,,,,,
83,10/3/21,Draw,0,0,Cavalier Football Club,ADASL,,,,,,,,,,
84,10/10/21,Win,2,1,Terminus KLS,ADASL,61,25,,,,,,,,
85,10/17/21,Win,3,0,Savannah Clovers FC,UPSL,7,5,5,,,,,,,
86,10/23/21,Loss,1,2,Atlanta United Academy,UPSL,5,,,,,,,,,
87,10/24/21,Win,4,0,Sting Black,ADASL,61,61,15,62,,,,,,
88,10/31/21,Win,2,1,East Atlanta FC Reserves,Perrin Cup,2,31,,,,,,,,
89,11/6/21,Win,2,1,Augusta United FC,UPSL,7,7,,,,,,,,
90,11/7/21,Win,2,0,Historic South Atlanta,ADASL,61,81,,,,,,,,
91,11/14/21,Win,2,1,East Atlanta FC Reserves,ADASL,23,15,,,,,,,,
92,11/21/21,Loss,1,2,Seas Jamaica All Stars FC,UPSL,7,,,,,,,,,
93,11/21/21,Win,2,1,Club The Strongest Atlanta,ADASL,81,23,,,,,,,,
94,11/27/21,Loss,0,1,Limeño Georgia,UPSL,,,,,,,,,,
95,12/5/21,Win,3,0,Brute Force Blue,ADASL,34,81,,,,,,,,
96,12/12/21,Loss,2,4,Majestic,Perrin Cup,7,18,,,,,,,,
97,1/23/22,Win,1,0,Brute Force Blue,ADASL,59,,,,,,,,,
98,1/30/22,Win,10,1,Brute Force Orange,ADASL,53,53,53,19,4,30,30,23,54,46
99,2/5/22,Loss,2,4,Club The Strongest Atlanta,UPSL Regional Cup,7,7,,,,,,,,
100,2/6/22,Loss,0,3,East Atlanta FC Reserves,ADASL,,,,,,,,,,
101,2/12/22,Win,4,3,Pre-College DA,UPSL Regional Cup,7,8,34,22,,,,,,
102,2/13/22,Loss,0,2,Sting Black,ADASL,,,,,,,,,,
103,2/19/22,Draw,0,0,Limeño Georgia U-20,UPSL Regional Cup,,,,,,,,,,
104,2/20/22,Win,3,0,ATLetic Old Boys,ADASL,2,53,53,,,,,,,
105,2/27/22,Win,6,0,Historic South Atlanta,ADASL,34,54,59,18,23,4,,,,
106,3/13/22,Win,4,0,Terminus KLS,ADASL,34,34,59,5,,,,,,
107,3/27/22,Win,3,2,Majestic Red,ADASL,7,32,34,,,,,,,
108,4/3/22,Win,0,0,Brute Force Orange,ADASL,,,,,,,,,,
109,4/3/22,Win,2,1,Rovers FC,UPSL,5,5,,,,,,,,
110,4/9/22,Win,1,0,Atlanta Elephants FC,UPSL,5,,,,,,,,,
111,4/10/22,Win,3,1,Cavalier FC,ADASL,1,67,32,,,,,,,
112,4/17/22,Loss,1,2,Georgia FC,UPSL,5,,,,,,,,,
113,4/23/22,Loss,0,3,Kalonji Pro-Profile,UPSL,,,,,,,,,,
114,4/24/22,Win,5,1,Club The Strongest Atlanta,ADASL,32,1,53,53,15,,,,,
115,5/1/22,Win,6,1,Majestic Red,ADASL,23,23,23,37,27,18,,,,
116,5/1/22,Win,2,1,FC Birmingham,UPSL,34,5,,,,,,,,
117,5/7/22,Win,5,2,Augusta United FC,UPSL,7,7,7,7,68,,,,,
118,5/15/22,Draw,1,1,FC Matata,UPSL,5,,,,,,,,,
119,5/21/22,Win,3,0,Club the Stongest Atlanta,UPSL,7,7,34,,,,,,,
120,5/29/22,Loss,2,4,Seas Jamaica All Stars,UPSL,5,7,,,,,,,,
121,5/31/22,Win,5,2,Limeño Georgia,UPSL,5,5,80,80,7,,,,,
122,6/3/22,Draw,0,0,Atlanta United Academy,UPSL,,,,,,,,,,
123,6/12/22,Loss,1,4,Soccer in the Streets LA Mercy,ADASL Summer,170,,,,,,,,,
124,6/12/22,Loss,1,2,Terminus FC,ADASL Summer,18,,,,,,,,,
125,6/12/22,Loss,1,3,Georgia FC,UPSL,34,,,,,,,,,
126,6/19/22,Win,2,0,Peachtree FC,ADASL Summer,32,71,,,,,,,,
127,6/19/22,Loss,0,2,Georgia Revolution U23,ADASL Summer,,,,,,,,,,
128,6/26/22,Loss,1,3,Terminus FC,ADASL Summer,170,,,,,,,,,
129,6/26/22,Win,8,1,Historic South Atlanta,ADASL Summer,19,32,71,65,105,23,92,18,,
130,7/9/22,Win,1,0,FC Atlanta Academy,UPSL Regional Cup,19,,,,,,,,,
131,7/10/22,Win,4,1,Historic South Atlanta,ADASL Summer,36,91,91,91,,,,,,
132,7/10/22,Win,4,0,Brute Force Blue,ADASL Summer,23,2,94,18,,,,,,
133,7/16/22,Draw,2,2,Kalonji Pro-Profile U23,UPSL Regional Cup,80,80,,,,,,,,
134,7/17/22,Win,4,1,Soccer in the Streets LA Mercy,ADASL Summer,9,125,93,28,,,,,,
135,7/17/22,Loss,0,5,Brute Force Blue,ADASL Summer,,,,,,,,,,
136,7/23/22,Win,2,0,Middle Georgia United,UPSL Regional Cup,7,8,,,,,,,,
137,7/24/22,Win,3,0,Georgia Revolution U23,ADASL Summer,95,71,23,,,,,,,
138,7/24/22,Win,1,0,Peachtree FC,ADASL Summer,126,,,,,,,,,
139,7/30/22,Loss,1,2,Kalonji Pro-Profile,UPSL Regional Cup,80,,,,,,,,,
140,7/31/22,Loss,2,4,Terminus FC,ADASL Summer,23,93,,,,,,,,